url,source,statut,nb_mots,score_pertinence,date
https://madame.lefigaro.fr/societe/mariees-surtout-pour-le-pire-reportage-aux-philippines-le-pays-du-divorce-interdit-030921-197873,Madame Figaro,retenu,1847,4,2021-09-13
https://www.programme-tv.net/news/tv/284296-valerie-bacot-pourquoi-jai-tue-mon-mari-rmc-story-dans-lintimite-de-la-mere-avant-son-jugement/,programme-tv.net,retenu,353,4,2021-10-08
https://osezlefeminisme.fr/affaire-alexandra-richard-la-cour-dappel-de-rouen-emprisonne-les-victimes/,Osez le feminisme,retenu,547,3,2021-10-14
https://www.cnews.fr/france/2021-10-19/tout-savoir-sur-laffaire-alexandra-richard-condamnee-10-ans-de-prison-pour-le,CNews,retenu,737,3,2021-10-19
https://www.liberation.fr/societe/police-justice/alexandra-richard-de-nouveau-condamnee-en-appel-a-dix-ans-de-prison-pour-avoir-tue-son-conjoint-violent-20211024_6AJ74UZSIZD3HECQUKHJGSUNYI/,Libération,erreur,0,0,
https://www.lefigaro.fr/faits-divers/dix-ans-requis-en-appel-contre-une-alexandra-richard-accusee-d-avoir-tue-son-conjoint-violent-20211023,Le Figaro,retenu,695,3,2021-10-23
https://www.madmoizelle.com/au-senat-valerie-bacot-lutte-pour-faire-reconnaitre-le-syndrome-de-la-femme-battue-1211340,Madmoizelle,retenu,500,4,2021-11-08
https://www.republicain-lorrain.fr/faits-divers-justice/2021/11/08/valerie-bacot-victime-de-l-enfer-des-violences-faites-aux-femmes-a-metz-le-26-novembre,Le Républicain Lorrain,trop_court,129,0,2021-11-08
https://www.estrepublicain.fr/faits-divers-justice/2021/11/15/deux-conferences-de-valerie-bacot,L'Est Républicain,trop_court,84,0,2021-11-15
https://www.lejsl.com/culture-loisirs/2021/11/04/valerie-bacot-face-au-public-pour-raconter-son-histoire,Le JSL,trop_court,114,0,2021-11-04
https://www.estrepublicain.fr/faits-divers-justice/2021/11/27/violee-battue-mais-toujours-debout-la-lecon-de-survie-de-valerie-bacot-aux-eleves-de-saint-dominique,L'Est Républicain,retenu,153,3,2021-11-27
https://radioscoop.com/infos/retro-2021-ces-grandes-affaires-judiciaires-qui-ont-marque-l-annee-dans-la-region_233045,Radio SCOOP,retenu,370,4,2021-12-28
https://www.elle.fr/Love-Sexe/Psycho/Comment-sortir-de-l-emprise-3977305,ELLE,trop_court,77,0,2023-05-24
https://www.lanouvellerepublique.fr/a-la-une/sarah-durieux-veut-changer-le-monde-avec-methode,lanouvellerepublique.fr,hors_sujet,1375,0,2021-12-04
https://www.lejsl.com/faits-divers-justice/2022/03/29/crime-de-la-clayette-le-prix-varenne-a-ete-remis-a-notre-confrere-jim-gassmann,Le JSL,trop_court,119,0,2022-03-29
https://www.lepoint.fr/societe/feminicide-a-douai-de-possibles-manquements-de-la-police-24-01-2022-2461816_23.php,Le Point,erreur,0,0,
https://www.ouest-france.fr/pays-de-la-loire/laval-53000/laval-natacha-chetcuti-osorovitz-les-femmes-representent-3-a-4-de-la-population-carcerale-1e92fe90-9884-11ec-a212-1f68235c1350,Ouest-France,erreur,0,0,
https://www.leparisien.fr/faits-divers/feminicides-dans-lherault-les-vies-fauchees-damelie-et-caroline-20-01-2022-E7X6POAPUZFBTPHVH7GVMLP77I.php,Le Parisien,erreur,0,0,
https://www.programme-tv.net/news/tv/296712-exclu-affaire-jubillar-rmc-story-les-confessions-inedites-de-severine-la-nouvelle-compagne-de-cedric-jubillar-video/,programme-tv.net,hors_sujet,391,0,2022-03-18
https://www.lejsl.com/culture-loisirs/2022/01/15/500-livres-en-vente-au-tabac-presse-arnoud,Le JSL,trop_court,99,0,2022-01-15
https://www.tf1info.fr/player/5e01a02e-a78a-4840-92d6-3e04f2ae0328/,TF1 Info,erreur,0,0,
https://www.tf1info.fr/player/771f1471-595b-454c-833e-ee3770f05ee3/,TF1 Info,erreur,0,0,
https://revueladeferlante.fr/le-syndrome-de-la-femme-battue-reconnu-devant-les-tribunaux/,La Déferlante,retenu,954,3,2022-04-28
https://www.lefigaro.fr/faits-divers/adolescente-tuee-en-saone-et-loire-son-petit-ami-de-14-ans-mis-en-examen-et-ecroue-20220610,Le Figaro,hors_sujet,441,0,2022-06-10
https://www.dalloz-actualite.fr/dossier/dessinateurs-judiciaires-essai-de-portrait,Dalloz Actualité,retenu,657,3,2022-04-08
https://www.huffingtonpost.fr/justice/article/le-judoka-alain-schmitt-accuse-de-violences-conjugales-par-margaux-pinot-relaxe-en-appel_197279.html,Le HuffPost,retenu,565,3,2022-06-10
https://www.lejsl.com/societe/2022/07/08/un-documentaire-sur-l-affaire-valerie-bacot-ce-soir-sur-rmc-story,Le JSL,trop_court,129,0,2022-07-08
https://www.sudouest.fr/justice/rejet-du-recours-contre-l-etat-de-valerie-bacot-victime-d-un-mari-violeur-et-proxenete-12920078.php,Sud Ouest,retenu,337,4,2022-11-09
https://www.elle.fr/Societe/News/Le-portrait-de-Valerie-Bacot-expose-a-la-National-Portrait-Gallery-de-Londres-4073902,ELLE,retenu,268,4,2022-10-27
https://sceneweb.fr/sylvie-testud-dans-tout-le-monde-savait-delodie-wallace/,Sceneweb,retenu,638,6,2022-10-16
https://www.telerama.fr/sortir/sylvie-testud-il-faut-aller-bien-pour-faire-ce-metier-7012702.php,Télérama,retenu,210,4,2022-10-27
https://www.lefigaro.fr/theatre/tout-le-monde-savait-sylvie-testud-sous-emprise-au-theatre-de-l-oeuvre-20221012,Le Figaro,retenu,325,4,2022-10-12
https://www.lejsl.com/faits-divers-justice/2022/11/10/valerie-bacot-son-recours-contre-l-etat-rejete,Le JSL,retenu,173,4,2022-11-10
https://www.scenesetcines.fr/spectacles/tout-le-monde-savait/,Scènes & Cinés,retenu,404,4,2024-01-16
https://www.lejsl.com/culture-loisirs/2023/04/25/un-moliere-pour-sylvie-testud-dans-le-role-de-valerie-bacot,Le JSL,retenu,223,4,2023-04-25
https://www.konbini.com/videos/on-a-pose-6-questions-a-nathalie-tomasini-lavocate-de-valerie-bacot/,Konbini,trop_court,39,0,2021-07-06
https://www.tf1info.fr/justice-faits-divers/video-tf1-gabriel-fortin-le-tueur-de-drh-condamne-les-familles-des-victimes-entre-colere-et-soulagement-2261996.html,TF1 Info,hors_sujet,386,0,2023-06-29
https://sceneweb.fr/la-liste-des-nominations-pour-les-molieres-2023/,Sceneweb,retenu,1553,4,2023-03-30
https://www.lefigaro.fr/flash-actu/le-departement-de-saone-et-loire-victime-d-une-escroquerie-20230417,Le Figaro,hors_sujet,275,0,2023-04-17
https://www.cnews.fr/culture/2023-04-25/molieres-2023-oublie-moi-et-la-comedie-francaise-grands-gagnants-de-la-ceremonie,CNews,retenu,606,4,2023-04-25
https://www.franceinfo.fr/culture/spectacles/les-molieres/molieres-2023-oublie-moi-sacre-meilleur-spectacle-du-theatre-prive-le-prix-du-theatre-public-pour-le-bourgeois-gentilhomme-de-la-comedie-francaise_5789708.html,franceinfo,retenu,1811,4,2023-04-24
https://www.femina.fr/article/palmares-des-molieres-2023-cette-piece-remporte-4-molieres-dont-celle-de-la-meilleure-mise-en-scene,Version Femina,retenu,552,4,2023-04-25
https://www.nouvelobs.com/societe/20230416.OBS72243/l-emprise-vue-par-une-avocate-le-suicide-force-est-un-angle-mort-des-violences-conjugales.html,Le Nouvel Obs,trop_court,123,0,2023-04-16
https://www.leparisien.fr/culture-loisirs/oublie-moi-les-poupees-persanes-ou-voir-les-spectacles-recompenses-aux-molieres-2023-26-04-2023-OTBX562ASJFYVNMG5LY473SEZY.php,Le Parisien,erreur,0,0,
https://sceneweb.fr/le-palmares-des-molieres-2023/,Sceneweb,retenu,1424,4,2023-04-26
https://www.lefigaro.fr/faits-divers/saone-et-loire-suspecte-d-une-tentative-de-meurtre-un-individu-fiche-s-place-en-detention-provisoire-20230221,Le Figaro,hors_sujet,276,0,2023-02-21
https://www.femmeactuelle.fr/actu/news-actu/une-adolescente-prostituee-de-force-pour-payer-la-dette-de-son-ex-compagnon-2156780,Femme Actuelle,hors_sujet,325,0,2023-06-11
https://www.closermag.fr/vecu/faits-divers/valerie-bacot-ce-que-son-bourreau-lui-a-tatoue-sur-ses-parties-intimes-1353748,Closer,retenu,320,3,2023-07-29
https://larochesuryon.maville.com/actu/actudet_-pouzauges.-tout-le-monde-savait-sylvie-testud-raconte-valerie-bacot-_-6075735_actu.Htm,- La Roche sur Yon.maville.com,erreur,0,0,
https://www.lamontagne.fr/donjon-03130/actualites/accroitre-la-sensibilisation_14383702/,La Montagne,erreur,0,0,
https://actu.fr/loisirs-culture/sylvie-testud-magistrale-dans-tout-le-monde-savait-au-chesnay-rocquencourt_60274946.html,Actu.fr,retenu,448,4,2023-11-05
https://www.ici.fr/emissions/le-choix-de-france-bleu-perigord/spectacle-tout-le-monde-savait-avec-sylvie-testud-molieres-2023-seule-en-scene-mardi-10-octobre-a-sarlat-5066272,ici.fr,retenu,452,4,2023-09-29
https://www.ledauphine.com/culture-loisirs/2023/11/14/sylvie-testud-dans-la-peau-de-valerie-bacot,Le Dauphiné Libéré,trop_court,81,0,2023-11-14
https://www.24heures.ch/entretien-avec-sylvie-testud-je-me-suis-demande-comment-cette-femme-avait-pu-survivre-699158034913,24 Heures,trop_court,139,0,2023-11-25
https://monaco-hebdo.com/culture/sylvie-testud-a-voir-dans-tout-le-monde-savait-au-theatre-princesse-grace-le-18-janvier/,Monaco Hebdo,retenu,174,4,2024-01-17
https://www.midilibre.fr/2024/01/10/seule-en-scene-sylvie-testud-porte-tout-le-monde-savait-11686161.php,Midi Libre,trop_court,125,0,2024-01-10
https://www.journaldefrancois.fr/taverny-theatre-tout-le-monde-savait-avec-sylvie-testud.htm,Le Journal de François,retenu,243,4,2024-01-27
https://www.lavoixdunord.fr/1424577/article/2024-01-30/tout-le-monde-savait-un-recit-bouleversant-au-theatre-de-cambrai,La Voix du Nord,erreur,0,0,
https://www.leprogres.fr/culture-loisirs/2024/01/08/sylvie-testud-dans-la-piece-tout-le-monde-savait-ce-mercredi,Le Progrès,trop_court,67,0,2024-01-08
https://www.programme-tv.net/news/people/345136-il-nest-pas-juge-je-ne-peux-pas-labattre-sylvie-testud-reagit-aux-accusations-visant-gerard-depardieu-et-se-rememore-un-tournage-avec-lui/,programme-tv.net,retenu,388,3,2024-01-19
https://www.cesoirtv.com/news/actu/1367-manuela-gonzalez-la-veuve-noire-de-lisere-confondue-pour-le-meurtre-de-son-mari-daniel-cano/,CesoirTV,hors_sujet,430,0,2024-02-18
https://charliehebdo.fr/2024/07/societe/feminisme/enquete-le-systeme-tomasini-ou-comment-faire-fortune-sur-les-violences-faites-aux-femmes/,Charlie Hebdo,hors_sujet,151,0,2026-04-29
https://www.lefigaro.fr/faits-divers/chalon-sur-saone-des-traces-de-peste-retrouvees-dans-un-courrier-envoye-a-une-ecole-20241127,Le Figaro,hors_sujet,338,0,2024-11-27
https://www.cesoirtv.com/news/actu/2720-willy-van-coppernolle-violeur-en-serie-reconnu-coupable-d-un-meurtre-il-est-aujourdhui-l-un-des-plus-vieux-detenus-de-france/,CesoirTV,hors_sujet,465,0,2024-11-22
