texte,auteur,handle,date,datetime,url,likes,retweets,nb_mots
"(“Je fais ce qu’il dit. Vaut mieux”: Valérie Bacot raconte l’emprise de son mari proxénète) has been published on chineselgz - 
https://
chineselgz.com/2021/06/21/je-
fais-ce-quil-dit-vaut-mieux-valerie-bacot-raconte-lemprise-de-son-mari-proxenete/
…",Wellcome-home,@Wellcome_Home,2021-06-21,2021-06-21T16:15:13.000Z,https://x.com/Wellcome_Home/status/1407009220218785794,0,0,25
"Si on résume l'intervention de l'expert psy: emprise totale de Valérie #Bacot, même au-delà de la mort de Daniel Polette, altération du discernement en raison de cette emprise, syndrome de la femme battue, pas de dangerosité. 
Éléments évidemment favorables à la défense.",Thibault Malandrin,@tibomalandrin,2021-06-24,2021-06-24T09:02:11.000Z,https://x.com/tibomalandrin/status/1407987407232851968,24,7,42
"Valérie Bacot raconte l’emprise de son mari proxénète: «Je fais ce qu’il dit. Vaut mieux» 
https://
lavoixdunord.fr/1031967/articl
e/2021-06-21/valerie-bacot-raconte-l-emprise-de-son-mari-proxenete-je-fais-ce-qu-il-dit-vaut?utm_medium=Social&utm_source=Twitter#Echobox=1624289498-1
…",La Voix du Nord,@lavoixdunord,2021-06-21,2021-06-21T16:00:37.000Z,https://x.com/lavoixdunord/status/1407005543009505282,5,3,19
"Procès Valérie Bacot, jour 4 : « L’emprise ne s’arrête jamais » 
http://
dlvr.it/S2Qrpd",ELLE,@ELLEfrance,2021-06-25,2021-06-25T08:18:33.000Z,https://x.com/ELLEfrance/status/1408338814993506304,5,0,14
"Violée, frappée, prostituée : Valérie Bacot, 24 ans sous emprise jusqu'à tuer son mari - France 3 Régions 
https://
france3-regions.francetvinfo.fr/bourgogne-fran
che-comte/saone-et-loire/chalon-sur-saone/violee-frappee-prostituee-valerie-bacot-24-ans-sous-emprise-jusqu-a-tuer-son-mari-2126245.html
… via 
@GoogleNews",Bougonnette,@bougonnette,2021-06-15,2021-06-15T11:07:43.000Z,https://x.com/bougonnette/status/1404757508435099650,0,1,24
"Propos extrêmement choquants qui montre une méconnaissance totale des ressorts extrêmement complexes de l’emprise, et qui sont, de plus, dénués de toute empathie pour toute cette souffrance endurée par Valérie Bacot. Quand on dit qu’il faut de la  formation !",Yael Mellul ,@YaelMellul,2021-06-24,2021-06-24T09:04:38.000Z,https://x.com/YaelMellul/status/1407988023518810116,60,9,40
"""L’altération très élevée du discernement de Valérie Bacot a été soulignée dans la motivation du verdict, avec la notion d’emprise et le syndrome de femme battue retenus par l’expert judiciaire dans son rapport.""

via 
@kajakareen



https://
humanite.fr/valerie-bacot-
libre-ce-verdict-constitue-un-pas-de-geant-explique-son-avocate-712501
…",Inform'Elles,@InformellesCA,2021-06-30,2021-06-30T16:01:21.000Z,https://x.com/InformellesCA/status/1410267220194824201,0,0,39
"""Valérie #Bacot ne pouvait pas prendre la vie de celui qui la terrorisait, qui la violait. L'attente sociale, elle est normale. Mais ce n'est l'as une tribune d'opinion. Cette emprise est d'une violence, d'une précocité telles qu'aucun autre dossier ne lui ressemble."" Eric Jallet",Thibault Malandrin,@tibomalandrin,2021-06-25,2021-06-25T07:14:36.000Z,https://x.com/tibomalandrin/status/1408322719809212416,13,1,44
"Dès l’âge de douze ans, Valérie Bacot connaît la peur et l’emprise auprès de Daniel, son beau-père, son violeur, puis son mari et proxénète. Dans ""Tout le monde savait"", elle raconte sa vérité, celle de la tyrannie quotidienne et de l’abandon. 
https://
fayard.fr/documents-temo
ignages/tout-le-monde-savait-9782213717180
…",Fayard,@EditionsFayard,2021-05-10,2021-05-10T07:56:04.000Z,https://x.com/EditionsFayard/status/1391663311884800000,3,1,45
"• Valérie Bacot a rencontré Marlène Schiappa •

La ministre a souligné que ""le Grenelle des violences conjugales a permis pour la première fois la reconnaissance de l’emprise dans le code pénal"".

 
https://
lejsl.com/societe/2021/0
7/07/valerie-bacot-a-rencontre-la-ministre-marlene-schiappa?utm_campaign=Echobox&utm_content=LeProgres&utm_medium=SMO&utm_source=Twitter#Echobox=1625646789-1
…",Le Journal de Saône-et-Loire,@lejsl,2021-07-07,2021-07-07T16:22:36.000Z,https://x.com/lejsl/status/1412809283666956290,0,0,36
"Procès de Valérie Bacot : « Je fais ce qu’il dit. Vaut mieux », l’accusée raconte l’emprise de son mari proxénète

http://
sudouest.fr/justice/proces
-de-valerie-bacot-je-fais-ce-qu-il-dit-vaut-mieux-l-accusee-raconte-l-emprise-de-son-mari-proxenete-3862393.php
…",Sud Ouest,@sudouest,2021-06-21,2021-06-21T13:40:47.000Z,https://x.com/sudouest/status/1406970355164585990,2,1,25
"De l'intérêt de faire reconnaître dans la loi l'emprise mentale, parce que si Mme Bacot est condamnée à la perpétuité c'est toute l'institution judiciaire qui est fautive.",𝕻𝖊𝖙𝖎𝖙 𝖕𝖔𝖚𝖊𝖙 ,@Gerbil_Ely,2021-06-21,2021-06-21T08:45:48.000Z,https://x.com/Gerbil_Ely/status/1406896120257712128,0,0,27
"Ce soir, nous souhaitons à Valérie Bacot et ses quatre enfants de pouvoir se reconstruire et vivre enfin libérés de l’emprise de cette violence. 
@de_bacot
 #ValerieBacot",Mouvement du Nid,@MouvementduNid,2021-06-25,2021-06-25T18:36:15.000Z,https://x.com/MouvementduNid/status/1408494263869087747,6,1,26
"Le cas de Valérie Bacot, exceptionnel dans le degré d'emprise, ne l'est pas dans la stratégie des conjoints proxénètes, qui s'approprient entièrement des femmes. Si Daniel Pollette a été décrit comme un « monstre » lors du procès, il n'est malheureusement pas un cas isolé. #bacot",Mouvement du Nid,@MouvementduNid,2021-06-25,2021-06-25T18:36:10.000Z,https://x.com/MouvementduNid/status/1408494241114951683,3,2,46
"""Une vie de terreur. Pendant vingt-quatre ans, Valérie Bacot a vécu sous l’emprise d’un mari violent, Daniel Polette et confie un quotidien marqué par l’horreur. Cet homme, d’abord son beau-père puis son mari, l’agresse sexuellement, la brutalise et finit par la prostituer.",Procureur #Matricule525  #StandUpAlepp,@menalahy,2021-06-14,2021-06-14T06:02:59.000Z,https://x.com/menalahy/status/1404318432418467842,4,2,42
"Elle s’est « trouvée enfermée, emprisonnée dans l’emprise de son mari totalitaire » 
https://
lavoixdunord.fr/1034263/articl
e/2021-06-24/proces-de-valerie-bacot-aucune-echappatoire-sauf-tuer-son-mari-proxenete-pour?utm_medium=Social&utm_source=Twitter#Echobox=1624544398-1
…",La Voix du Nord,@lavoixdunord,2021-06-24,2021-06-24T18:44:47.000Z,https://x.com/lavoixdunord/status/1408134020962164741,0,2,17
"""Elle est totalement sous l'emprise de M. Polette. Elle commence un tout petit peu à s'en sortir. Elle n'a aucune confiance en moi. Pour elle, tous les hommes sont extrêmement inquiétants. Le suivi va durer des années. Des années."" #Bacot",Thibault Malandrin,@tibomalandrin,2021-06-24,2021-06-24T10:37:36.000Z,https://x.com/tibomalandrin/status/1408011420898414592,12,3,40
