url,title,author,date,sitename,query_trigger,word_count,scraped_at
https://www.marianne.net/societe/police-et-justice/valerie-bacot-jugee-pour-lassassinat-de-son-mari-600-000-francais-reclament-sa-liberte,Valérie Bacot jugée pour l'assassinat de son mari : 600 000 Français réclament sa liberté,Magazine Marianne,2021-06-22,,Valérie Bacot,661,2026-05-28T14:16:28.941978
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/violee-frappee-prostituee-valerie-bacot-24-ans-sous-emprise-jusqu-a-tuer-son-mari-2126245.html,"Violée, frappée, prostituée : Valérie Bacot, 24 ans sous emprise jusqu'à tuer son mari",Gaël Simon,2021-06-12,,Valérie Bacot,1654,2026-05-28T14:16:37.069807
https://www.bfmtv.com/police-justice/affaire-valerie-bacot-qu-est-ce-que-le-syndrome-de-la-femme-battue_AN-202106290501.html,"Affaire Valérie Bacot: qu'est-ce que le ""syndrome de la femme battue""?",Ambre Lepoivre,2021-06-29,,Valérie Bacot,564,2026-05-28T14:16:39.458274
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/direct-valerie-bacot-mon-pere-ne-me-manque-pas-affirme-l-un-des-fils-de-la-femme-victime-de-violences-conjugales-2148997.html,"Valérie Bacot : le mari violent, une victime que personne ne regrette",Gaël Simon,2021-06-23,,Valérie Bacot,3488,2026-05-28T14:16:42.241934
https://www.lejsl.com/faits-divers-justice/2021/06/18/comment-l-affaire-valerie-bacot-est-devenue-un-sujet-national,Justice. Comment l’affaire Valérie Bacot est devenue un sujet national,Richard MONTAVON,2021-06-18,,Valérie Bacot,178,2026-05-28T14:16:46.845929
https://www.la-croix.com/mere-Valerie-Bacot-parle-amour-mari-proxenete-2021-06-23-1301162763,"La mère de Valérie Bacot parle d'""amour"" avec son mari proxénète",Afp Modifié Le,2021-06-23,,Valérie Bacot,475,2026-05-28T14:16:52.903696
https://www.lejsl.com/faits-divers-justice/2024/11/30/faites-entrer-l-accuse-ce-dimanche-que-devient-valerie-bacot,Saône-et-Loire. “Faites entrer l’accusé” ce dimanche : que devient Valérie Bacot ?,Richard Montavon,2024-11-30,,Valérie Bacot,216,2026-05-28T14:16:57.391206
https://www.lejsl.com/faits-divers-justice/2021/06/25/faits-divers-justice-2021-06-25,"En direct. Pas d'incarcération requise contre Valérie Bacot, la défense plaide l'acquittement",Jim GASSMANN,2021-06-25,,Valérie Bacot,4935,2026-05-28T14:17:02.804805
https://www.bfmtv.com/police-justice/proces-de-valerie-bacot-elle-n-avait-d-autre-echappatoire-que-de-tuer-son-mari-proxenete-selon-des-experts_AD-202106240373.html,"Procès de Valérie Bacot: elle n'avait d'autre ""échappatoire"" que de tuer son mari proxénète, selon des...",AL,2021-06-24,,Valérie Bacot,450,2026-05-28T14:17:05.151011
https://www.tf1info.fr/justice-faits-divers/video-proces-de-valerie-bacot-un-verdict-qui-fera-date-2189917.html,Procès de Valérie Bacot : un verdict qui fera date | TF1 Info,La rédaction de TF,2021-06-26,,Valérie Bacot,229,2026-05-28T14:17:15.254520
