url,titre,auteur,date,sitename,type_doc,source_type,word_count,video_url
https://www.bfmtv.com/police-justice/valerie-bacot-videe-mentalement-et-physiquement-applaudie-en-sortant-libre-du-tribunal_AV-202106250467.html,"Valérie Bacot, ""vidée mentalement et physiquement"", applaudie en sortant libre du tribunal",Marine Langlois,2021-06-25,,article,,190,
https://www.ici.fr/infos/faits-divers-justice/valerie-bacot-condamnee-a-3-ans-de-prison-avec-sursis-pour-avoir-tue-son-mari-proxenete-ressort-1624646394,"Valérie Bacot, condamnée à 3 ans de prison avec sursis pour avoir tué son mari proxénète, est libre - ICI",Viviane Le Guen,2021-06-25,,article,,752,
https://www.20minutes.fr/justice/3070523-20210625-violences-conjugales-accusation-demande-reincarcerer-valerie-bacot-tue-mari-proxenete,"Valérie Bacot ne doit pas retourner en prison, demande l'avocat général",Hélène Sergent,2021-06-25,,article,,772,
https://www.bfmtv.com/police-justice/il-nous-donnait-des-coups-nous-jetait-par-terre-au-proces-de-valerie-bacot-les-enfants-racontent-la-violence-de-leur-pere_AV-202106220316.html,"""Il nous donnait des coups, nous jetait par terre"": au procès de Valérie Bacot, les enfants racontent la...",Amélie Rosique avec Ambre Lepoivre,2021-06-22,,article,,335,
https://www.marianne.net/societe/police-et-justice/condamnee-pour-la-mort-de-son-mari-valerie-bacot-veut-raconter-pour-que-ca-serve,"Condamnée pour la mort de son mari, Valérie Bacot veut ""raconter pour que ça serve""",Clara Hesse,2021-12-03,,article,,829,
https://www.lanouvellerepublique.fr/a-la-une/la-vive-emotion-provoquee-par-le-proces-de-valerie-bacot,La vive émotion provoquée par le procès de Valérie Bacot,Olivier PIROT,2021-06-23,,article,,995,
https://www.la-croix.com/France/Violences-conjugales-proces-Valerie-Bacot-fera-date-selon-avocate-2021-06-27-1201163447,Violences conjugales : le procès de Valérie Bacot « fera date » selon son avocate,Pierre Bienvault,2021-06-27,,article,,645,
https://www.bfmtv.com/police-justice/proces-de-valerie-bacot-ses-enfants-temoignent_VN-202106220284.html,Procès de Valérie Bacot: ses enfants témoignent,,2021-06-22,,article,,242,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/proces-de-valerie-bacot-comment-interpreter-sa-condamnation-a-quatre-ans-de-prison-dont-trois-avec-sursis-2154523.html,Procès de Valérie Bacot : comment interpréter sa condamnation à quatre ans de prison dont trois avec sursis ?,Manon Botticelli,2021-06-26,,article,,829,
https://www.rtl.fr/actu/justice-faits-divers/affaire-valerie-bacot-la-nouvelle-jacqueline-sauvage-temoigne-sur-w9-7800866390,"Affaire Valérie Bacot : la ""nouvelle Jacqueline Sauvage"" témoigne sur W9",La rédaction de M6,2020-09-30,,article,,314,
https://www.europe1.fr/societe/valerie-bacot-condamnee-a-une-peine-symbolique-justice-a-ete-rendue-estime-son-avocate-4054122,"Valérie Bacot condamnée à une peine symbolique : ""Justice a été rendue"", estime son avocate",Marion Dubreuil; Édité Par Antoine Terrel,2021-06-26,,article,,251,
https://www.tf1info.fr/justice-faits-divers/video-je-vais-pouvoir-retrouver-mes-enfants-libre-valerie-bacot-ovationnee-a-la-sortie-du-tribunal-2189844.html,"VIDÉO - ""Je vais pouvoir retrouver mes enfants"" : libre, Valérie Bacot ovationnée à la sortie du tribunal | TF1 Info",La rédaction de TF,2021-06-26,,article,,617,
https://france3-regions.franceinfo.fr/bourgogne-franche-comte/saone-et-loire/chalon-sur-saone/valerie-bacot-il-est-indispensable-que-la-loi-passe-autour-de-ce-crime-plaide-l-avocate-des-parties-civiles-2152363.html,Valérie Bacot : les avocates demandent l'acquittement de la femme qui a tué son mari,Gaël Simon,2021-06-24,,article,,2103,
https://www.gala.fr/l_actu/news_de_stars/exclu-gala-valerie-bacot-son-depart-en-prison-organise-et-sous-controle-avant-son-proces_480151,EXCLU - Valérie Bacot : son départ en prison organisé et sous contrôle avant son procès,Sarah Polak,2021-11-07,,article,,516,
